nohup: ignoring input
[Config] CUDA detected: NVIDIA RTX A6000 x2
[Utils] Random seed set to 42
============================================================
  1D-DDPM Generation Pipeline
============================================================
  Device:       cuda
  Checkpoint:   logs/deep_v6/checkpoint_final.pt
  Scaler:       logs/deep_v6/scaler.pt
  Num samples:  5120
  Batch size:   64
  Use EMA:      True
  Output:       output/deep_v6.csv
============================================================

[Step 1] Loading scaler...
[Scaler] Parameters loaded from logs/deep_v6/scaler.pt
  sp500: mean=0.000315, std=0.010551
  DGS10: mean=0.000026, std=0.066899
  Found run configuration: /home/u00134/src/logs/deep_v6/config.json
  Loaded model config: channel_dims=[256, 512, 1024], time_emb_dim=512, T=3000

[Step 2] Loading model...
  Loaded EMA weights
  Trained epoch: 6999
  U-Net parameters: 42,121,730

[Step 3] Generating 5120 paths...

  --- Batch 1 (64 samples) ---
  [Scheduler] Reverse step 2999/3000  x range: [-4.457, 4.724]
  [Scheduler] Reverse step 2950/3000  x range: [-4.305, 4.767]
  [Scheduler] Reverse step 2900/3000  x range: [-5.043, 4.633]
  [Scheduler] Reverse step 2850/3000  x range: [-4.591, 4.839]
  [Scheduler] Reverse step 2800/3000  x range: [-4.728, 4.635]
  [Scheduler] Reverse step 2750/3000  x range: [-5.239, 4.482]
  [Scheduler] Reverse step 2700/3000  x range: [-4.240, 4.850]
  [Scheduler] Reverse step 2650/3000  x range: [-4.215, 4.847]
  [Scheduler] Reverse step 2600/3000  x range: [-4.633, 5.539]
  [Scheduler] Reverse step 2550/3000  x range: [-4.275, 4.425]
  [Scheduler] Reverse step 2500/3000  x range: [-4.897, 4.285]
  [Scheduler] Reverse step 2450/3000  x range: [-4.498, 4.328]
  [Scheduler] Reverse step 2400/3000  x range: [-4.578, 4.740]
  [Scheduler] Reverse step 2350/3000  x range: [-5.015, 4.281]
  [Scheduler] Reverse step 2300/3000  x range: [-4.327, 4.449]
  [Scheduler] Reverse step 2250/3000  x range: [-4.237, 4.436]
  [Scheduler] Reverse step 2200/3000  x range: [-4.549, 4.515]
  [Scheduler] Reverse step 2150/3000  x range: [-4.639, 4.190]
  [Scheduler] Reverse step 2100/3000  x range: [-4.493, 4.543]
  [Scheduler] Reverse step 2050/3000  x range: [-4.448, 4.666]
  [Scheduler] Reverse step 2000/3000  x range: [-4.303, 4.770]
  [Scheduler] Reverse step 1950/3000  x range: [-4.706, 5.144]
  [Scheduler] Reverse step 1900/3000  x range: [-4.824, 4.277]
  [Scheduler] Reverse step 1850/3000  x range: [-4.188, 4.409]
  [Scheduler] Reverse step 1800/3000  x range: [-4.493, 4.925]
  [Scheduler] Reverse step 1750/3000  x range: [-4.863, 4.305]
  [Scheduler] Reverse step 1700/3000  x range: [-4.764, 4.516]
  [Scheduler] Reverse step 1650/3000  x range: [-4.214, 4.700]
  [Scheduler] Reverse step 1600/3000  x range: [-4.219, 5.578]
  [Scheduler] Reverse step 1550/3000  x range: [-5.255, 4.574]
  [Scheduler] Reverse step 1500/3000  x range: [-4.592, 4.301]
  [Scheduler] Reverse step 1450/3000  x range: [-4.573, 5.274]
  [Scheduler] Reverse step 1400/3000  x range: [-4.637, 4.988]
  [Scheduler] Reverse step 1350/3000  x range: [-4.380, 4.769]
  [Scheduler] Reverse step 1300/3000  x range: [-4.320, 4.906]
  [Scheduler] Reverse step 1250/3000  x range: [-4.215, 4.487]
  [Scheduler] Reverse step 1200/3000  x range: [-4.493, 4.404]
  [Scheduler] Reverse step 1150/3000  x range: [-4.958, 4.445]
  [Scheduler] Reverse step 1100/3000  x range: [-4.605, 4.443]
  [Scheduler] Reverse step 1050/3000  x range: [-4.765, 4.372]
  [Scheduler] Reverse step 1000/3000  x range: [-4.369, 5.047]
  [Scheduler] Reverse step 950/3000  x range: [-4.449, 4.875]
  [Scheduler] Reverse step 900/3000  x range: [-4.745, 4.644]
  [Scheduler] Reverse step 850/3000  x range: [-4.667, 4.505]
  [Scheduler] Reverse step 800/3000  x range: [-4.403, 4.637]
  [Scheduler] Reverse step 750/3000  x range: [-4.609, 4.635]
  [Scheduler] Reverse step 700/3000  x range: [-4.729, 4.361]
  [Scheduler] Reverse step 650/3000  x range: [-5.725, 5.093]
  [Scheduler] Reverse step 600/3000  x range: [-5.686, 5.076]
  [Scheduler] Reverse step 550/3000  x range: [-5.573, 4.875]
  [Scheduler] Reverse step 500/3000  x range: [-5.344, 5.094]
  [Scheduler] Reverse step 450/3000  x range: [-5.252, 5.209]
  [Scheduler] Reverse step 400/3000  x range: [-5.532, 5.741]
  [Scheduler] Reverse step 350/3000  x range: [-5.575, 6.148]
  [Scheduler] Reverse step 300/3000  x range: [-5.587, 5.697]
  [Scheduler] Reverse step 250/3000  x range: [-5.843, 5.424]
  [Scheduler] Reverse step 200/3000  x range: [-5.478, 5.384]
  [Scheduler] Reverse step 150/3000  x range: [-5.332, 5.185]
  [Scheduler] Reverse step 100/3000  x range: [-5.330, 5.455]
  [Scheduler] Reverse step  50/3000  x range: [-5.377, 5.159]
  [Scheduler] Reverse step   0/3000  x range: [-5.308, 4.950]
  Generated: 64/5120

  --- Batch 2 (64 samples) ---
  [Scheduler] Reverse step 2999/3000  x range: [-4.475, 4.548]
  [Scheduler] Reverse step 2950/3000  x range: [-4.335, 5.198]
  [Scheduler] Reverse step 2900/3000  x range: [-4.562, 4.434]
  [Scheduler] Reverse step 2850/3000  x range: [-4.254, 4.770]
